,Data Medicao,"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)","TEMPERATURA MAXIMA, DIARIA (AUT)(°C)","TEMPERATURA MINIMA, DIARIA (AUT)(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)","VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)",RADIACAO GLOBAL(Mj/m²),ANO,MES,DIA
5,2007-06-29,0.0,25.9,14.8,67.125,0.783333,25.173,2007,Jun,29
6,2007-06-30,0.0,25.7,13.3,64.916667,1.008333,11.3,2007,Jun,30
7,2007-07-01,0.0,24.5,12.0,58.25,0.908333,10.132,2007,Jul,1
8,2007-07-02,0.0,25.7,10.5,56.75,0.941667,16.726,2007,Jul,2
9,2007-07-03,0.0,26.3,10.9,59.5,1.333333,14.199,2007,Jul,3
10,2007-07-04,0.0,27.1,13.8,54.708333,1.395833,6.21,2007,Jul,4
11,2007-07-05,0.0,27.5,14.9,56.833333,2.541667,22.821,2007,Jul,5
12,2007-07-06,0.0,27.5,16.7,54.541667,2.5625,12.308,2007,Jul,6
13,2007-07-07,0.0,27.1,17.0,55.166667,2.5,9.714,2007,Jul,7
14,2007-07-08,0.0,28.2,15.1,50.708333,2.075,11.453,2007,Jul,8
15,2007-07-09,0.0,27.4,14.4,51.166667,1.8875,4.881,2007,Jul,9
16,2007-07-10,0.0,27.9,16.2,52.541667,1.970833,14.887,2007,Jul,10
17,2007-07-11,0.0,28.2,14.6,55.833333,0.925,22.068,2007,Jul,11
18,2007-07-12,0.0,25.6,11.6,74.956522,2.413043,25.013,2007,Jul,12
19,2007-07-13,0.0,26.4,14.0,51.583333,3.570833,24.503,2007,Jul,13
20,2007-07-14,0.0,27.6,15.2,49.083333,2.179167,26.263,2007,Jul,14
21,2007-07-15,0.0,29.2,15.5,52.208333,1.158333,17.001,2007,Jul,15
22,2007-07-16,0.2,23.1,15.2,77.625,2.445833,11.247,2007,Jul,16
23,2007-07-17,2.4,21.2,14.5,77.75,2.495833,10.495,2007,Jul,17
24,2007-07-18,17.2,19.5,14.0,88.166667,2.266667,16.918,2007,Jul,18
25,2007-07-19,1.8,20.1,10.6,81.5,0.958333,28.158,2007,Jul,19
26,2007-07-20,0.0,26.1,8.9,61.583333,1.191667,24.952,2007,Jul,20
27,2007-07-21,0.0,29.4,11.6,51.166667,1.066667,27.812,2007,Jul,21
28,2007-07-22,0.0,29.8,17.5,46.25,3.408333,24.663,2007,Jul,22
29,2007-07-23,0.0,26.8,21.0,65.916667,3.204167,14.265,2007,Jul,23
30,2007-07-24,54.6,23.2,17.5,91.913043,1.886957,10.866,2007,Jul,24
31,2007-07-25,46.0,18.4,16.7,94.125,2.216667,22.062,2007,Jul,25
32,2007-07-26,7.2,18.7,8.5,74.541667,1.095833,26.459,2007,Jul,26
33,2007-07-27,0.0,17.6,8.9,81.5,1.170833,24.866,2007,Jul,27
34,2007-07-28,0.0,19.2,9.9,88.409091,1.831818,21.814,2007,Jul,28
