,Data Medicao,"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)","TEMPERATURA MAXIMA, DIARIA (AUT)(°C)","TEMPERATURA MINIMA, DIARIA (AUT)(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)","VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)",RADIACAO GLOBAL(Mj/m²),ANO,MES,DIA
3,2001-12-22,2.0,30.7,21.8,77.041667,1.3125,25.925,2001,Dez,22
4,2001-12-23,19.2,31.9,20.7,71.590909,1.809091,8.182,2001,Dez,23
11,2001-12-30,0.0,23.5,21.6,89.083333,1.2375,19.649,2001,Dez,30
12,2001-12-31,0.0,28.1,21.2,83.708333,1.704167,24.265,2001,Dez,31
13,2002-01-01,0.0,26.7,21.6,88.208333,2.2125,23.606,2002,Jan,1
14,2002-01-02,0.0,28.3,21.7,85.0,1.670833,20.455,2002,Jan,2
15,2002-01-03,0.0,28.2,22.7,82.916667,2.045833,23.336,2002,Jan,3
16,2002-01-04,0.0,27.0,22.4,87.25,2.079167,21.052,2002,Jan,4
17,2002-01-05,0.0,27.4,21.4,88.666667,1.670833,20.472,2002,Jan,5
18,2002-01-06,0.0,31.4,21.8,80.708333,1.3375,11.691,2002,Jan,6
19,2002-01-07,0.0,27.4,21.3,87.083333,2.258333,18.277,2002,Jan,7
20,2002-01-08,0.0,28.0,21.6,81.833333,3.1375,23.273,2002,Jan,8
21,2002-01-09,0.0,29.6,21.5,80.458333,2.320833,16.987,2002,Jan,9
22,2002-01-10,0.0,29.7,21.0,73.666667,2.3625,23.219,2002,Jan,10
23,2002-01-11,0.0,30.1,21.1,73.541667,1.866667,20.071,2002,Jan,11
24,2002-01-12,0.0,30.9,20.5,73.708333,1.933333,22.941,2002,Jan,12
25,2002-01-13,0.0,30.8,21.2,74.208333,1.954167,21.469,2002,Jan,13
26,2002-01-14,0.0,30.5,21.8,82.875,0.9,23.015,2002,Jan,14
27,2002-01-15,0.0,29.5,21.0,85.875,1.804167,20.707,2002,Jan,15
28,2002-01-16,0.0,27.1,20.9,87.75,1.470833,24.157,2002,Jan,16
29,2002-01-17,0.0,24.5,21.4,87.666667,2.779167,24.148,2002,Jan,17
30,2002-01-18,0.0,28.3,21.2,83.916667,2.458333,21.821,2002,Jan,18
31,2002-01-19,0.0,29.3,20.1,79.416667,1.641667,20.824,2002,Jan,19
32,2002-01-20,0.0,30.4,19.7,75.958333,1.85,23.807,2002,Jan,20
33,2002-01-21,0.0,32.2,20.3,74.083333,1.791667,22.252,2002,Jan,21
34,2002-01-22,0.0,33.2,20.4,69.708333,1.520833,20.052,2002,Jan,22
35,2002-01-23,0.0,32.2,18.9,69.25,1.595833,20.712,2002,Jan,23
36,2002-01-24,0.0,32.2,18.5,70.625,1.5875,21.68,2002,Jan,24
37,2002-01-25,0.0,33.1,19.3,70.791667,1.775,22.529,2002,Jan,25
38,2002-01-26,0.0,32.4,20.8,72.958333,1.841667,27.456,2002,Jan,26
39,2002-01-27,0.0,32.6,20.7,70.666667,1.770833,28.356,2002,Jan,27
40,2002-01-28,0.0,34.2,19.9,69.833333,1.354167,25.67,2002,Jan,28
41,2002-01-29,0.0,33.3,19.9,69.208333,1.8125,7.537,2002,Jan,29
42,2002-01-30,0.0,34.1,21.6,68.086957,1.756522,-0.024,2002,Jan,30
43,2002-01-31,0.0,32.7,21.6,64.708333,2.245833,28.516,2002,Jan,31
44,2002-02-01,0.0,33.3,18.3,66.208333,1.929167,25.403,2002,Fev,1
45,2002-02-02,0.0,34.4,21.4,66.875,1.333333,7.357,2002,Fev,2
46,2002-02-03,0.0,28.6,21.3,87.208333,2.095833,13.057,2002,Fev,3
47,2002-02-04,0.0,29.5,20.8,82.916667,1.354167,15.767,2002,Fev,4
48,2002-02-05,0.0,29.8,20.9,82.208333,1.016667,22.168,2002,Fev,5
49,2002-02-06,0.0,29.0,21.1,82.083333,2.008333,24.344,2002,Fev,6
50,2002-02-07,0.0,29.7,21.4,77.375,2.733333,18.742,2002,Fev,7
51,2002-02-08,0.0,29.5,21.6,79.083333,1.570833,22.526,2002,Fev,8
52,2002-02-09,0.0,30.2,21.1,77.083333,1.791667,23.519,2002,Fev,9
53,2002-02-10,0.0,30.2,21.6,77.291667,1.575,24.981,2002,Fev,10
54,2002-02-11,0.0,30.9,20.9,76.583333,2.125,23.769,2002,Fev,11
55,2002-02-12,0.0,29.6,20.6,74.708333,1.825,28.718,2002,Fev,12
56,2002-02-13,0.0,30.6,18.4,71.608696,2.147826,28.792,2002,Fev,13
58,2002-02-15,0.0,32.4,18.3,71.875,1.483333,26.101,2002,Fev,15
59,2002-02-16,0.0,32.1,19.7,74.708333,2.0625,23.45,2002,Fev,16
60,2002-02-17,0.0,31.8,20.5,74.708333,1.6125,26.804,2002,Fev,17
61,2002-02-18,0.0,33.1,21.5,72.0,1.7125,26.555,2002,Fev,18
62,2002-02-19,0.0,32.8,21.3,69.166667,1.779167,28.679,2002,Fev,19
63,2002-02-20,0.0,32.6,20.5,66.541667,2.379167,28.339,2002,Fev,20
64,2002-02-21,0.0,32.8,18.0,65.375,1.983333,28.211,2002,Fev,21
65,2002-02-22,0.0,34.3,17.4,62.333333,1.929167,27.778,2002,Fev,22
66,2002-02-23,0.0,35.0,17.0,63.708333,1.3875,25.099,2002,Fev,23
67,2002-02-24,0.0,34.5,17.3,62.458333,1.445833,27.819,2002,Fev,24
68,2002-02-25,0.0,34.8,19.3,63.458333,2.008333,27.821,2002,Fev,25
69,2002-02-26,0.0,33.5,17.6,64.416667,2.0375,27.037,2002,Fev,26
70,2002-02-27,0.0,34.2,17.4,63.458333,1.779167,24.2712,2002,Fev,27
71,2002-02-28,0.0,34.2,16.9,57.041667,1.845833,11.456,2002,Fev,28
72,2002-03-01,0.0,34.2,17.6,56.083333,1.679167,13.72,2002,Mar,1
73,2002-03-02,0.0,33.2,18.0,64.833333,1.729167,9.26,2002,Mar,2
74,2002-03-03,0.0,34.4,18.9,64.333333,1.5625,10.033,2002,Mar,3
75,2002-03-04,0.0,33.8,19.3,61.833333,2.120833,11.126,2002,Mar,4
76,2002-03-05,0.0,31.2,19.4,71.666667,1.945833,25.271,2002,Mar,5
77,2002-03-06,0.0,32.5,20.4,71.583333,1.0125,15.302,2002,Mar,6
78,2002-03-07,0.0,34.2,19.7,69.833333,1.266667,17.29,2002,Mar,7
79,2002-03-08,0.0,35.2,22.0,64.125,1.616667,20.6,2002,Mar,8
80,2002-03-09,0.0,34.9,19.7,60.458333,1.183333,27.747,2002,Mar,9
81,2002-03-10,0.0,35.7,19.3,58.541667,1.416667,24.767,2002,Mar,10
82,2002-03-11,0.0,34.3,21.2,59.583333,1.916667,26.013,2002,Mar,11
83,2002-03-12,0.0,34.0,21.2,64.5,1.429167,26.406,2002,Mar,12
84,2002-03-13,27.8,35.8,21.8,62.166667,1.541667,12.842,2002,Mar,13
85,2002-03-14,0.0,35.4,19.7,58.083333,1.595833,13.72,2002,Mar,14
86,2002-03-15,0.0,35.1,20.9,58.791667,2.491667,10.606,2002,Mar,15
87,2002-03-16,0.0,35.3,21.8,62.125,1.35,8.01,2002,Mar,16
88,2002-03-17,0.0,34.2,21.6,65.625,1.554167,18.299,2002,Mar,17
89,2002-03-18,0.0,34.7,20.7,65.458333,1.691667,22.23,2002,Mar,18
90,2002-03-19,0.0,32.7,22.2,70.875,1.270833,27.889,2002,Mar,19
91,2002-03-20,0.0,33.8,21.6,70.291667,1.979167,29.241,2002,Mar,20
92,2002-03-21,0.0,33.9,20.7,69.958333,1.620833,27.7,2002,Mar,21
93,2002-03-22,0.0,29.3,21.6,79.541667,1.1,28.656,2002,Mar,22
94,2002-03-23,0.0,33.3,21.4,69.333333,1.729167,28.886,2002,Mar,23
95,2002-03-24,0.0,31.9,21.3,76.391304,1.595652,27.465,2002,Mar,24
96,2002-03-25,0.0,29.8,20.5,80.041667,1.25,26.836,2002,Mar,25
97,2002-03-26,0.0,32.4,22.0,73.0,1.641667,28.62,2002,Mar,26
98,2002-03-27,0.0,32.4,20.0,74.041667,1.9,27.973,2002,Mar,27
99,2002-03-28,0.0,33.7,20.4,66.291667,2.066667,28.354,2002,Mar,28
100,2002-03-29,0.0,33.4,17.5,65.875,1.691667,28.381,2002,Mar,29
101,2002-03-30,0.0,32.8,18.7,64.090909,1.859091,28.791,2002,Mar,30
104,2002-04-02,0.0,32.5,21.8,68.583333,1.329167,17.815,2002,Abr,2
105,2002-04-03,0.0,34.3,20.2,65.708333,1.695833,14.341,2002,Abr,3
106,2002-04-04,0.0,34.9,20.7,61.375,1.4375,20.605,2002,Abr,4
107,2002-04-05,0.0,34.7,17.6,61.625,1.2625,6.378,2002,Abr,5
108,2002-04-06,0.0,34.6,17.8,61.708333,1.416667,7.295,2002,Abr,6
109,2002-04-07,0.0,32.5,18.4,65.125,1.8875,19.275,2002,Abr,7
110,2002-04-08,0.0,34.5,20.2,64.0,1.35,17.303,2002,Abr,8
111,2002-04-09,0.4,31.4,20.3,73.791667,1.458333,19.444,2002,Abr,9
